City full name,City short name,Country,Region,Population year,Population,CDP reporting year,Access,Scale,Energy types covered by target, Base year,Base year total renewable energy covered by target (in unit specified in column 2),Base year percentage renewable energy of total energy or electricity,Target year,Target year total renewable energy covered by target (in unit specified in column 2),Target year percentage renewable energy of total energy,Plans to meet target (include details on types of energy),City location,Water 2014 - Number of drivers
"City of Northampton, MA","Northampton, MA",USA,North America,2010,28549,2017,Public,City-wide,,,,,2020,,25,,"(42.304845, -72.614446)",254
Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,South and West Asia,2015,30000,2017,Public,City-wide,Renewable energy,,10,,2030,,60,the plan intend to reducing CO2 emissions on its territory by at least 40% by 2030,"(31.323126, 34.344025)",
City of Philadelphia,Philadelphia,USA,North America,2014,1560297,2017,Public,City-wide,All renewable electricity consumed (in MWh),2005,2015,,2015,20,20,Philadelphia will set a new goal to reach 100% renewable energy as part of its citywide energy vision in 2017.,"(39.952335, -75.163789)",
City of Los Angeles,Los Angeles,USA,North America,2014,3928864,2016,Public,City-wide,Renewable electricity,,,,2030,,50,,"(34.0522342, -118.2436849)",
Egedal Municipality,Egedal Municipality,Denmark,Europe,2015,42000,2017,Public,City-wide,Renewable energy,2007,237,0.5,2020,38040,8,"This target is reached by intiatives listed on previous pages.PV, thermal solar and biogas.","(55.795045, 12.238733)",
City of San Francisco,San Francisco,USA,North America,2015,864816,2017,Public,City-wide,All renewable electricity consumed (in MWh),2010,2507000,41,2030,2507000,100,"In December 2010, then-Mayor Gavin Newsom announced a new goal for San Francisco: to be completely powered by renewable energy in 10 years. In pursuit of this goal, Mayor Edwin Lee, together with his predecessor, established the Mayor’s Renewable Energy Task Force in January 2011, with the directive to develop recommendations for the City and County of San Francisco to achieve a fully renewable electricity supply for San Francisco. The Task Force, comprising local clean energy leaders, business and community stakeholders, and relevant City departments met nearly monthly from January 2011 through May 2012 to examine local and regional barriers to and opportunities for renewable energy, including policy, regulatory, technical, financial, and public awareness aspects. The Task Force produced a recommendation report that was released in September 2012. This report reflects the Task Force’s discussions and recommendations for meeting the City’s 100% renewable energy goal. The report can be viewed and downloaded here: http://www.sfenvironment.org/sites/default/files/fliers/files/sfe_re_renewableenergytaskforcerecommendationsreport.pdf","(37.7749295, -122.4194155)",
New York City,New York City,USA,North America,2014,8491079,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),2016,78,1,2030,1000,,"Our target is made in terms of installed capacity not as a percentage of total electricity production.Target: 1,000 MW of solar capacity installed by 2030.","(40.7127837, -74.0059413)",
City of Vancouver,Vancouver,Canada,North America,2011,603500,2017,Public,City-wide,All renewable energy consumed (in MWh),2014,17000000,31,2050,11000000,100,"Vancouver’s Renewable City Strategy has set a target to derive 100% of Vancouver’s energy use from renewable sources before 2050. This encompasses community-wide energy use in buildings and transportation and envisions a shift to renewable electricity, biofuels, and neighbourhood energy systems.","(49.261226, -123.1139268)",
Ayuntamiento de Madrid,Madrid,Spain,Europe,2015,3156572,2016,Public,City-wide,Renewable energy,,,,2020,,10,"Detailed in  ""Horizon 2020 - Plan for the sustainable use of energy and Climate Change Prevention""","(40.1076253, -3.3875673)",80
City of Wroclaw,City of Wroclaw,Poland,Europe,2014,634487,2017,Public,City-wide,All renewable energy consumed (in MWh),1990,0,0,2020,1689461,15,"zadania realizowane w ramach planu gospodarki niskoemisyjnej m.in. : zagospodarowanie odpadów i biomasy w ZOO, modernizacja oswietlenia, instalacja OZE w róznych obiektach itp.","(51.107885, 17.038538)",29
Byron Shire Council,Byron Shire,Australia,South Asia and Oceania,2015,32723,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),2015,,,2025,,100,"A detailed action plan will be developed, and will outline how we plan to reach the 100% RE target. RE in the area will be primarily solar PV, Hydro energy and bioenergy are also being investigated within our region. Feasibility studies investigating wind generation have shown it to not be viable source of RE for our region.","(-28.6534, 153.5334)",
City of Gibraltar,Gibraltar,Gibraltar,Europe,2014,33140,2017,Public,City-wide,All renewable electricity consumed (in MWh),2015,0,0,2020,,15,"Installation of small scale solar thermal on Government buildings, including the local swimming pool, sports hall and hospital. Roll out of large scale PV. Installation of pilot projects for wave, wind and other innovative technologies.Inclusion of renewable technologies on all new builds.","(36.1407734, -5.3535994)",
Gemeente Rotterdam,Rotterdam,Netherlands,Europe,2014,624000,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),,,,2020,,14,the total of wind energy capacity will grow to 300 MW in the port area and 50 MW on the borders of the city area,"(51.9163716, 4.4509382)",
Incheon Metropolitan City,Incheon ,South Korea,East Asia,2015,2983484,2015,Public,Not reported,Renewable electricity,,,,2035,,1,Goal of 11%,"(37.456256, 126.705206)",
Sejong Metropolitan Autonomous City,Sejong ,South Korea,East Asia,2015,210884,2016,Public,City-wide,Renewable energy,,,,2020,,15,,"(36.501933, 127.278604)",
Stadt Zürich,Stadt Zürich,Switzerland,Europe,2014,404783,2017,Public,City-wide,Renewable energy,,,,2035,,50,"According to Energy Masterplan city of Zurich.The future of electricityewz supplies over 200,000 households and 340,000 workplaces. For the next twenty years, the electricity supply is ensured by means of city owned hydro power plants and investments in other power plants. The licences to use hydro power begin to expire in 2035. The city is striving to renew them. The nuclear power plants will begin to disappear from the grid in 2025 and the largest investment is expected to come to an end upon expiry of the operating permit for the Gösgen nuclear power plant in 2038. The city does not want any new investment in nuclear power plants.In the City of Zurich’s Future of Electricity project, ewz has drawn up scenarios for the next fifty years. It has analysed the situation on the production side, the situation on theconsumption side, the economic framework conditions and the technical possibilities, as well as modelling future developments in four consumption scenarios and three production scenarios. In order to cover the entire demand for electricity in 2060 with energy from renewable sources, around 100 million CHF would have to be invested in new plants each year over the next fifty years. By 2018, as an intermediate goal, 200 gigawatt hours (GWh) of electricity are to be produced from wind energy, 100 GWh from biomass and 10 GWh from solar power.","(47.3686498, 8.5391825)",38
City of Cleveland,Cleveland,USA,North America,2010,396815,2016,Public,City-wide,Renewable electricity,,,,2030,,25,"Total installed capacity of renewable electricity: 1,560,000 MWhIn 2008, the City of Cleveland adopted a voluntary Advanced Energy Portfolio Standard (AEPS) that calls for 15% of Cleveland Public Power’s (municipal utility) energy to come from advanced or renewable sources by 2015, 20% by 2020, and 25% by 2025. The largest utility in Northeast Ohio, FirstEnergy, is subject to Ohio’s Renewable Portfolio Standard which requires the state’s four inventor-owned utilities to generate at least 12.5% of their electricity from renewable sources by 2025. However this was frozen in 2014 at 2013 levels, for two years. In addition, the City of Cleveland leverages its government aggregation program to procure renewable energy for residents and small businesses who are First Energy (Cleveland Electric Illuminating – CEI) customers.","(41.4993, -81.6944)",42
City of Atlanta,Atlanta,USA,North America,2013,443775,2015,Public,City-wide,Renewable electricity,,,,2020,99,1,The City of Atlanta will work with stakeholders to triple the renewable capacity within the city limits (See Power to Change initiative: http://p2catl.com/uncategorized/power-to-change-sustainability-plan/),"(33.7489954, -84.3879824)",
City of Cape Town,Cape Town,South Africa,Africa,2014,3918830,2017,Public,City-wide,Total installed capacity of renewable electricity (in MW),2012,220,0,2022,,10,"target: 220 MW by 2022. Programmes and projects include: a) large scale renewable (100MW) energy via IPPs  and/or city owned plants (the city is in the process of engaging National Government to obtain permission to allow this for local governments). B) Small Scale Embedded generation (120MW), the City has implemented a grid-tied tariff and monitors and promotes implementation.","(-33.9253, 18.4239)",
City of Austin,Austin,USA,North America,2015,888204,2017,Public,City-wide,All renewable electricity produced (in MWh),2007,649266,5.1,2025,8000000,55,"We will add over 600MW of utility solar and and undisclosed amount of wind generation to our portfolio by 2025 to meet this goal. Since we can't predict our load we can't calculate the exact MWh total that would correspond to 55% renewable generation in 2025.  An estimate would be 8,000,000 MWh.","(30.2672, -97.7431)",101
City of Durban,Durban,South Africa,Africa,2015,3555868,2017,Public,City-wide,Renewable energy,,,,2020,,10,Implementing viable small-scale renewable energy generation such as hydro and rooftop solar photovoltaic within municipal assets,"(-29.8586804, 31.0218404)",
City of Fort Collins,Fort Collins,USA,North America,2016,161000,2017,Public,City-wide,All renewable electricity consumed (in MWh),2005,21499,2,2020,335611,20,"The City will achieve a minimum of 2% from locally installed solar, with a minimum of 18% from qualifying wind and solar resources.","(40.5853, -105.0844)",46
Stadt Zürich,Stadt Zürich,Switzerland,Europe,2014,404783,2017,Public,City-wide,Renewable energy,,,,2020,,25,"According to Energy Masterplan city of Zurich.The future of heatThe city is currently drawing up a rough concept for the heat supply in the year 2050. In order to be able to get an estimate of the future which is as sophisticated as possible with the goal of the 2000-watt society in mind that is nearly fossil free, 23 areas of the city are being examined with regard to their local potential for renewable energies and the probable development of the demand for energy. The aim is to show how the political measures, relating to the future energy supply, must be oriented on the long term. In general, a shift from fossil fuels to renewable energies and to renewable electricity has to be persuaded. In this regards to this matter the implementation of local heating / cooling networks will become particularly significant.","(47.3686498, 8.5391825)",38
City of Toronto,Toronto,Canada,North America,2011,2753100,2017,Public,City-wide,,2007,,,2020,,,"Displace 90 Mm3 of natural gas through geo-thermal heating, solar hot water, solar air and biogas and biomass by 2020 and by 2050 displace 200 Mm3 of natural gas through the same sources listed above.","(43.653226, -79.3831843)",42
Communauté urbaine du Grand Nancy,Communauté urbaine du Grand Nancy,France,Europe,2014,265000,2016,Public,City-wide,Renewable electricity,,,,2020,,20,,"(48.692054, 6.184417)",38
Ville de Nyon,Nyon,Switzerland,Europe,2015,20444,2017,Public,City-wide,All renewable electricity produced (in MWh),2011,1008,1,2020,,3,augmenter la couverture photovoltaïque sur les toitures communales et encourager les privés par des incitations financières et en proposant des installations clés en main,"(46.383268, 6.234785)",49
Taipei City Government,Taipei City,Taiwan,East Asia,2015,2704810,2015,Public,City-wide,Renewable electricity,,,,2013,146,10,1.Hydro2.Landfill gas to generate electricity3.solar,"(25.037525, 121.563782)",
Taichung City Government,Taichung,Taiwan,East Asia,2016,2750000,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),2016,60,1,2020,100,2,Develop solar PV system city-wide.,"(24.161859, 120.646967)",
