Program Name,Project Year,Account Number,Account Name,Ticker,ISIN,GICS_sector,GICS_Industry_Group,GICS_Industry,GICS_Sub_Industry,Activities,Sectors,Industries,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,
Climate Change,2015,333,"Adobe Systems, Inc.",ADBE US,US00724F1012,Information Technology,Software & Services,Software,Application Software,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,356,Aetna Inc.,AET US,US00817Y1082,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,285,3M Company,MMM US,US88579Y1010,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,45103,AbbVie Inc,ABBV US,US00287Y1091,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,291,Abercrombie & Fitch Co.,ANF US,US0028962076,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,391,Agilent Technologies Inc.,A US,US00846U1016,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,350,Agnico-Eagle Mines Limited,AEM CN,CA0084741085,Materials,Materials,Metals & Mining,Gold,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,7814,Aimia Inc.,AIM CN,CA00900Q1037,Consumer Discretionary,Media,Media,Advertising,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,427,Air Canada,AC CN,CA0089117034,Industrials,Transportation,Airlines,Airlines,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,40183,Alliance Data Systems,ADS US,US0185811082,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
