Scale,Energy / electricity types covered by target ,Base year,Total renewable energy / electricity covered by target in base year (in unit specified in column 2),Percentage renewable energy / electricity of total energy or electricity in base year,Target year,Total renewable energy / electricity covered by target in target year (in unit specified in column 2),Percentage renewable energy / electricity of total energy or electricity in target year,Percentage of target achieved,Plans to meet target (include details on types of energy/electricity),city_full
City-wide,All electricity consumed (in MWh),2019,9644,5.24,2035,184049,100,5.24,,Abington Township
City-wide,Total installed capacity of renewable energy (in MW),2007,0,0,2050,100,15,2,"Presumption is all 160 MW will be solar photovoltaic. To be achieved throughpromotion, incentives, removal of state regulatory barriers toPV deployment, and use of advanced technologies (e.g.buildingintegratedPV including vertical panels).","Arlington, VA"
City-wide,All electricity produced (in MWh),2015,,0,2040,,20,1,Community Energy Strategic PlanRenewable Energy Action PlanGreenhouse Gas Inventory,"Broward County, FL"
Local government operations,All energy consumed (in MWh),,,,2035,,100,,"We plan to meet this target with a mixed approach of energy efficiency upgrades as well as renewable energy. We are in the process of identifying and assessing the feasibility of local sites to size a solar installation, as well as leveraging energy resources already owned and/or operated by the City to meet this target.",City of Ann Arbor
Local government operations,Other: MMBtu,2019,89224,100,2030,,,0,In process. Draft to be finalized by the end of the summer.  Our county has a community wide goal which we have resolved to support.,City of Asheville
City-wide,All electricity consumed (in MWh),2017,,100,2035,,100,6,100atl.com,City of Atlanta
,,,,,,,,,,"City of Aurora, IL"
City-wide,All energy produced (in MWh),,,,2027,,65,50,The goal is to generate 65% of customer load with renewable sources and in 2018 Austin Energy produced 34.5% of customer load from renewable sources. https://austinenergy.com/wcm/connect/6dd1c1c7-77e4-43e4-8789-838eb9f0790d/2027+Austin+Energy+Resource+Plan+20171002.pdf?MOD=AJPERES&CVID=lXv4zHS,City of Austin
City-wide,Total installed capacity of renewable electricity (in MW),2010,11,0.0005,2020,3300,15,0.003333333,"The city currently has 11 megawatts for solar going to city buildings with the highest energy costs and has plans for onsite solar on landfills and on the 21st century schools being constructed. The City supports Maryland's pilot community solar program and is partner on Community Solar projects.  The city's community resiliency hubs will have onsite solar. A city initiative, Baltimore Shines, has installed solar on the roofs of 30 low income homes and has a plan to install solar on 1,000 more.",City of Baltimore
Local government operations,All electricity consumed (in MWh),2013,,,2020,,100,100,,"City of Beaverton, OR"
City-wide,Total installed capacity of renewable electricity (in MW),2014,14.3,,2020,37.5,,100,Capacity goal of 25 MW.NOTE: The 2020 target was set in our 2014 Climate Action Plan Update. We are currently updating our Climate Action Plan and our targets.,City of Boston
City-wide,All energy consumed (in MWh),2005,47639.28,4,2030,1190982,100,28,"Making a transition to a renewable energy future will require the rapid transition to 100 percent renewable electricity  and Boulder has set a goal to achieve this 100% renewable electricity by 2030. Boulder’s electricity generation mix is determined by the electric utility and therefore achieving this goal will require the following actions: (1) Reduce the need for additional generation through continued improvements in energy efficiency and productivity. Actions include: expand the energy services provided by the city and expand on-site solar installations across the community; (2) Replace all coal and natural gas electricity generation with renewable energy systems such as solar and wind. Actions include: assume operational authority and begin operations of an electric utility, and analyze local generation opportunities including combined heat and power, heating/cooling district analysis and energy storage infrastructure development; (3) Redesign the existing electricity delivery system to make it more reliable, more secure and more supportive of a diverse mix of electricity sources. Actions include: work with both institutional and private sector partners to pilot projects integrating local energy system designs with alternative electricity distribution systems, map critical community infrastructure and operations and identify opportunities to develop and deploy energy system upgrades that enable these sites to sustain operations during periods of power grid disruption, and launch the next round of community innovation investments through the Boulder Energy Challenge. Progress is tracked in the annual inventory and also reported here: https://bouldercolorado.gov/climate/climate-goal-progress",City of Boulder
Local government operations,All energy consumed (in MWh),2005,,,2020,,100,,"Measure A in the climate action plan under energy measures (municipal): ""The City will request either participation in the CCE program with the purchase of 100% renewable energy or enrollment in an energy offset program to offset city GHG emissions from electricity and natural gas. The offsets will be State of California approved.""","City of Brisbane, CA"
City-wide,All energy consumed (in MWh),2018,,,2030,,100,,"Burlington has  a goal of being a net zero energy city by 2030. Burlington already produces 100% of its electricity from renewable resources. To eliminate natural gas and petroleum consumption, Burlington will endeavor to electrify space and water heating and transportation, improve building efficiency, and reduce annual miles traveled by vehicles registered in Burlington by improving alternative transportation options.",City of Burlington
City-wide,All energy consumed (in MWh),2009,350137.5,3.749994645,2036,2801100,30,5,"In January of 2006 Calgary launched a massive public engagement initiative called ""imagineCalgary"" which asked participants to set aspirational goals in shaping the city's future in 30 years (2036) and 100 years.   In the ""energy"" category participants agreed on a goal that by 2036, 30 per cent of Calgary’s energy derives from low-impact renewable sources.The provincial government has made public statements around renewable energy targets for the Alberta grid. The Government of Alberta website says:""To increase the use of renewables to generate electricity and reduce emissions in Alberta, the government launched the Renewable Electricity Program. This program will add 5,000 megawatts of renewable electricity capacity by 2030 and puts Alberta on a path to achieve a target of 30 per cent renewable energy by that time.""The Government of Alberta is auctioning the contracts to build the new renewable energy generation in Alberta.  The competition ensures the renewable energy capacity will be delivered at attractive prices for Alberta's electricity rate payers.  Three successful bids from the first round of competition were announced Dec 13, 2017.From the Government of Alberta website:( https://www.alberta.ca/renewable-electricity-program.aspx )""Round one set a record for the lowest renewable electricity pricing in Canada with a weighted average price of 3.7 cents per kilowatt-hour. By comparison, the weighted average price for Ontario’s large renewable procurement in 2016 was 8.5 cents per kilowatt-hour.The successful companies will develop 600 megawatts of renewable electricity, enough to power 255,000 homes. This is 200 megawatts more than planned due to better-than-expected bid prices from developers. Projects will be operational by the end of 2019.""",City of Calgary
City-wide,Total installed capacity of renewable electricity (in MW),2000,,,2030,,,,,City of Cambridge
City-wide,All electricity consumed (in MWh),2000,,,2020,,,,,City of Cambridge
Local government operations,All electricity consumed (in MWh),2008,,,2020,,100,,,City of Cambridge
Local government operations,All energy consumed (in MWh),2015,,,2030,,100,0,Achieving this governmental operations target will be a task that will be an interface across all the SEAP Work Packages. It is likely to have differing timescales to align with business needs. The goal of the internal city operations is on a faster trajectory that the external work packages. It will build upon existing Rider programs and look for additional novel opportunities.,City of Charlotte
Local government operations,All energy consumed (in MWh),2015,2266000,5.8,2025,2266000,100,6,City looking to begin installing solar on vacant land in early 2019,City of Chicago
City-wide,All electricity produced (in MWh),2017,,43,2035,,100,43,"The City has worked with the local utility SDG&E to encourage and assist with their adoption of renewable ahead of the state's RPS requirements.  We have additionally outlined he following policies in our CAP aimed at helping reach our goal: - Conduct a CCA Feasibility Study to identify costs and benefits for City Council consideration, Evaluate potential to partner with private sector to utilize municipal facilities for community solar projects (such as to support SDG&E’s EcoShare program), Promote “green” electricity credits and tariffs such as SDG&E’s EcoChoice.  The CCA feasibility study has just been released with staff going to City Council in late July 2019 with the results and direction on next steps.  https://www.chulavistaca.gov/departments/clean/conservation/climate-action-plan/community-choice-aggregation",City of Chula Vista
